iter	Passed	Remaining
210	2285	8545
211	2295	8534
212	2300	8501
213	2304	8465
214	2310	8436
215	2314	8401
216	2318	8366
217	2325	8341
218	2328	8305
219	2333	8273
220	2339	8245
221	2343	8213
222	2347	8180
223	2351	8147
224	2356	8116
225	2360	8083
226	2366	8057
227	2370	8025
228	2373	7992
229	2378	7961
230	2381	7929
231	2385	7897
232	2392	7876
233	2397	7846
234	2401	7816
235	2405	7786
236	2409	7757
237	2414	7731
238	2419	7702
239	2423	7675
240	2427	7646
241	2431	7617
242	2435	7587
243	2439	7559
244	2443	7531
245	2448	7505
246	2452	7477
247	2469	7489
248	2473	7460
249	2477	7433
250	2481	7404
251	2484	7375
252	2489	7349
253	2492	7321
254	2496	7294
255	2506	7285
256	2510	7258
257	2514	7231
258	2518	7204
259	2521	7177
260	2525	7151
261	2529	7125
262	2533	7098
263	2536	7072
264	2540	7046
265	2544	7021
266	2567	7049
267	2571	7024
268	2575	6999
269	2579	6974
270	2584	6951
271	2588	6926
272	2592	6903
273	2595	6878
274	2600	6854
275	2604	6832
276	2608	6807
277	2612	6783
278	2615	6759
279	2620	6737
280	2624	6714
281	2628	6692
282	2632	6669
283	2636	6646
284	2640	6625
285	2661	6644
286	2665	6622
287	2669	6599
288	2673	6577
289	2681	6564
290	2685	6542
291	2689	6520
292	2698	6511
293	2702	6489
294	2706	6467
295	2709	6445
296	2714	6424
297	2717	6401
298	2721	6380
299	2725	6359
300	2739	6362
301	2745	6344
302	2766	6363
303	2770	6343
304	2775	6324
305	2779	6304
306	2794	6308
307	2800	6292
308	2804	6271
309	2807	6249
310	2812	6230
311	2816	6209
312	2820	6189
313	2823	6168
314	2827	6148
315	2844	6157
316	2849	6138
317	2863	6141
318	2867	6122
319	2872	6103
320	2875	6083
321	2880	6064
322	2886	6050
323	2890	6030
324	2894	6011
325	2898	5993
326	2902	5973
327	2906	5954
328	2910	5936
329	2914	5916
330	2921	5903
331	2925	5885
332	2929	5867
333	2932	5847
334	2936	5829
335	2940	5810
336	2943	5791
337	2947	5773
338	2952	5756
339	2956	5738
340	2960	5721
341	2967	5708
342	2970	5690
343	2974	5671
344	2978	5654
345	2981	5636
346	2986	5619
347	2989	5601
348	3042	5674
349	3046	5657
350	3049	5639
351	3054	5622
352	3057	5604
353	3061	5586
354	3065	5569
355	3097	5603
356	3101	5586
357	3105	5569
358	3110	5553
359	3114	5537
360	3118	5520
361	3122	5503
362	3126	5486
363	3130	5470
364	3167	5510
365	3171	5494
366	3175	5477
367	3179	5460
368	3183	5443
369	3187	5426
370	3193	5413
371	3196	5396
372	3200	5380
373	3205	5364
374	3209	5349
375	3213	5333
376	3217	5317
377	3242	5336
378	3246	5320
379	3250	5304
380	3255	5288
381	3302	5343
382	3375	5438
383	3379	5421
384	3383	5404
385	3386	5387
386	3390	5370
387	3394	5354
388	3398	5337
389	3422	5352
390	3426	5336
391	3430	5320
392	3434	5304
393	3437	5287
394	3441	5271
395	3445	5255
396	3497	5313
397	3502	5297
398	3505	5280
399	3510	5265
400	3513	5248
401	3517	5232
402	3532	5233
403	3539	5221
404	3543	5205
405	3547	5189
406	3550	5173
407	3554	5157
408	3558	5141
409	3561	5125
410	3566	5110
411	3569	5094
412	3574	5080
413	3578	5065
414	3581	5049
415	3586	5035
416	3590	5019
417	3594	5004
418	3597	4988
419	3601	4973
420	3605	4958
421	3612	4948
422	3616	4933
423	3620	4917
424	3624	4903
425	3628	4889
426	3632	4874
427	3635	4858
428	3639	4844
429	3643	4829
430	3646	4814
431	3650	4800
432	3654	4785
433	3658	4770
434	3661	4755
435	3666	4742
436	3673	4732
437	3677	4718
438	3681	4705
439	3685	4690
440	3689	4676
441	3692	4662
442	3697	4648
443	3701	4634
444	3705	4621
445	3709	4607
446	3712	4593
447	3717	4580
448	3721	4567
449	3725	4553
450	3748	4563
451	3752	4549
452	3756	4535
453	3759	4521
454	3763	4508
455	3767	4494
456	3770	4480
457	3774	4466
458	3778	4453
459	3782	4440
460	3785	4426
461	3790	4413
462	3794	4400
463	3798	4387
464	3802	4374
465	3806	4361
466	3810	4349
467	3814	4335
468	3818	4322
469	3822	4310
470	3825	4296
471	3829	4284
472	3833	4271
473	3838	4259
474	3841	4246
475	3845	4233
476	3849	4220
477	3853	4207
478	3856	4195
479	3860	4182
480	3864	4170
481	3868	4157
482	3872	4144
483	3876	4132
484	3879	4119
485	3884	4107
486	3887	4095
487	3891	4082
488	3895	4070
489	3898	4057
490	3903	4046
491	3906	4033
492	3911	4022
493	3914	4009
494	3918	3997
495	3922	3985
496	3926	3973
497	3930	3961
498	3933	3949
499	3937	3937
500	3961	3945
501	3964	3933
502	3968	3921
503	3972	3909
504	3979	3900
505	3982	3888
506	3986	3876
507	3990	3864
508	3994	3853
509	4020	3862
510	4024	3851
511	4027	3839
512	4031	3827
513	4035	3815
514	4038	3803
515	4041	3791
516	4051	3785
517	4055	3773
518	4059	3762
519	4063	3750
520	4067	3739
521	4070	3727
522	4074	3716
523	4077	3704
524	4081	3693
525	4085	3681
526	4088	3670
527	4093	3658
528	4096	3647
529	4100	3636
530	4104	3624
531	4107	3613
532	4111	3602
533	4115	3591
534	4119	3580
535	4122	3568
536	4126	3557
537	4129	3546
538	4133	3535
539	4137	3524
540	4142	3514
541	4146	3503
542	4150	3492
543	4154	3482
544	4158	3471
545	4161	3460
546	4166	3450
547	4169	3439
548	4173	3428
549	4177	3417
550	4184	3409
551	4188	3399
552	4191	3388
553	4196	3378
554	4199	3367
555	4203	3357
556	4207	3346
557	4211	3335
558	4215	3325
559	4219	3315
560	4223	3304
561	4227	3294
562	4231	3284
563	4242	3279
564	4260	3279
565	4263	3269
566	4268	3259
567	4271	3248
568	4276	3239
569	4280	3228
570	4287	3221
571	4291	3210
572	4295	3200
573	4298	3190
574	4302	3180
575	4306	3170
576	4310	3160
577	4314	3150
578	4318	3139
579	4322	3129
580	4325	3119
581	4329	3109
582	4332	3098
583	4336	3088
584	4339	3078
585	4345	3069
586	4348	3059
587	4352	3049
588	4357	3040
589	4362	3031
590	4366	3021
591	4371	3012
592	4422	3035
593	4427	3026
594	4431	3016
595	4438	3008
596	4442	2999
597	4447	2989
598	4461	2986
599	4470	2980
600	4475	2971
601	4479	2961
602	4492	2957
603	4497	2948
604	4502	2939
605	4506	2929
606	4510	2920
607	4514	2910
608	4518	2901
609	4522	2891
610	4525	2881
611	4531	2872
612	4536	2864
613	4541	2854
614	4546	2846
615	4551	2837
616	4555	2827
617	4559	2818
618	4570	2813
619	4583	2809
620	4607	2812
621	4614	2804
622	4629	2801
623	4633	2791
624	4637	2782
625	4642	2773
626	4646	2764
627	4650	2754
628	4654	2745
629	4659	2736
630	4664	2727
631	4668	2718
632	4672	2709
633	4676	2699
634	4680	2690
635	4684	2680
636	4688	2671
637	4692	2662
638	4716	2664
639	4720	2655
640	4724	2645
641	4728	2636
642	4732	2627
643	4737	2618
644	4741	2609
645	4745	2600
646	4749	2591
647	4752	2581
648	4756	2572
649	4760	2563
650	4763	2553
651	4767	2544
652	4771	2535
653	4774	2526
654	4778	2517
655	4782	2508
656	4786	2498
657	4790	2489
658	4793	2480
659	4797	2471
660	4801	2462
661	4805	2453
662	4809	2444
663	4813	2435
664	4817	2426
665	4821	2417
666	4825	2409
667	4829	2400
668	4833	2391
669	4837	2382
670	4842	2374
671	4845	2365
672	4849	2356
673	4853	2347
674	4857	2338
675	4862	2330
676	4867	2322
677	4872	2313
678	4876	2305
679	4880	2296
680	4884	2288
681	4889	2279
682	4892	2270
683	4897	2262
684	4901	2253
685	4904	2245
686	4908	2236
687	4933	2237
688	4938	2228
689	4941	2220
690	4945	2211
691	4958	2207
692	4962	2198
693	4966	2189
694	4969	2180
695	4973	2172
696	4976	2163
697	4980	2154
698	4984	2146
699	4987	2137
700	4990	2128
701	4994	2120
702	4998	2111
703	5001	2103
704	5005	2094
705	5008	2085
706	5012	2077
707	5015	2068
708	5019	2060
709	5023	2052
710	5028	2043
711	5031	2035
712	5035	2026
713	5039	2018
714	5042	2010
715	5046	2001
716	5050	1993
717	5053	1984
718	5057	1976
719	5061	1968
720	5064	1959
721	5068	1951
722	5071	1943
723	5079	1936
724	5083	1928
725	5087	1919
726	5090	1911
727	5095	1903
728	5099	1895
729	5103	1887
730	5107	1879
731	5111	1871
732	5115	1863
733	5133	1860
734	5136	1852
735	5141	1844
736	5144	1835
737	5148	1827
738	5152	1819
739	5156	1811
740	5160	1803
741	5164	1795
742	5168	1787
743	5174	1780
744	5178	1772
745	5182	1764
746	5186	1756
747	5190	1748
748	5193	1740
749	5197	1732
750	5201	1724
751	5206	1716
752	5209	1708
753	5213	1700
754	5217	1693
755	5221	1685
756	5225	1677
757	5229	1669
758	5233	1661
759	5237	1653
760	5241	1646
761	5245	1638
762	5249	1630
763	5253	1622
764	5256	1614
765	5260	1607
766	5264	1599
767	5268	1591
768	5271	1583
769	5275	1575
770	5279	1567
771	5282	1560
772	5286	1552
773	5290	1544
774	5293	1536
775	5297	1529
776	5301	1521
777	5304	1513
778	5308	1505
779	5311	1498
780	5315	1490
781	5319	1482
782	5323	1475
783	5327	1467
784	5331	1460
785	5335	1452
786	5339	1445
787	5343	1437
788	5346	1429
789	5350	1422
790	5354	1414
791	5357	1407
792	5361	1399
793	5384	1397
794	5388	1389
795	5392	1382
796	5396	1374
797	5399	1366
798	5403	1359
799	5407	1351
800	5410	1344
801	5414	1336
802	5433	1333
803	5437	1325
804	5441	1318
805	5445	1310
806	5449	1303
807	5453	1295
808	5457	1288
809	5461	1281
810	5464	1273
811	5468	1266
812	5472	1258
813	5476	1251
814	5479	1243
815	5483	1236
816	5487	1229
817	5491	1221
818	5495	1214
819	5499	1207
820	5502	1199
821	5506	1192
822	5510	1185
823	5514	1177
824	5517	1170
825	5521	1163
826	5525	1155
827	5528	1148
828	5532	1141
829	5536	1134
830	5540	1126
831	5547	1120
832	5551	1112
833	5554	1105
834	5558	1098
835	5562	1091
836	5566	1083
837	5570	1076
838	5574	1069
839	5578	1062
840	5582	1055
841	5586	1048
842	5595	1042
843	5607	1036
844	5612	1029
845	5616	1022
846	5620	1015
847	5624	1008
848	5628	1000
849	5632	994
850	5636	986
851	5639	979
852	5644	972
853	5648	965
854	5651	958
855	5655	951
856	5660	944
857	5665	937
858	5669	930
859	5673	923
860	5677	916
861	5680	909
862	5684	902
863	5688	895
864	5691	888
865	5695	881
866	5698	874
867	5702	867
868	5718	862
869	5722	855
870	5726	848
871	5730	841
872	5734	834
873	5738	827
874	5743	820
875	5747	813
876	5751	806
877	5755	799
878	5758	792
879	5762	785
880	5766	778
881	5770	771
882	5774	765
883	5778	758
884	5781	751
885	5786	744
886	5790	737
887	5796	731
888	5803	724
889	5807	717
890	5811	710
891	5846	707
892	5850	700
893	5854	694
894	5858	687
895	5862	680
896	5866	673
897	5870	666
898	5874	659
899	5878	653
900	5881	646
901	5885	639
902	5889	632
903	5904	626
904	5908	620
905	5912	613
906	5915	606
907	5919	599
908	5923	592
909	5927	586
910	5930	579
911	5938	573
912	5950	567
913	5954	560
914	5959	553
915	5964	546
916	5968	540
917	5972	533
918	5976	526
919	5980	520
920	5983	513
921	5987	506
922	5991	499
923	5994	493
924	5998	486
925	6002	479
926	6005	472
927	6009	466
928	6015	459
929	6020	453
930	6024	446
931	6028	439
932	6061	435
933	6065	428
934	6070	422
935	6074	415
936	6078	408
937	6081	401
938	6085	395
939	6088	388
940	6092	381
941	6095	375
942	6099	368
943	6103	362
944	6107	355
945	6111	348
946	6114	342
947	6118	335
948	6121	328
949	6125	322
950	6129	315
951	6132	309
952	6136	302
953	6140	296
954	6144	289
955	6147	282
956	6151	276
957	6154	269
958	6158	263
959	6162	256
960	6166	250
961	6169	243
962	6172	237
963	6176	230
964	6180	224
965	6184	217
966	6187	211
967	6190	204
968	6194	198
969	6198	191
970	6202	185
971	6205	178
972	6209	172
973	6213	165
974	6217	159
975	6221	152
976	6224	146
977	6228	140
978	6232	133
979	6235	127
980	6274	121
981	6278	115
982	6282	108
983	6286	102
984	6290	95
985	6294	89
986	6298	82
987	6301	76
988	6305	70
989	6309	63
990	6312	57
991	6316	50
992	6320	44
993	6324	38
994	6327	31
995	6331	25
996	6335	19
997	6338	12
998	6342	6
999	6346	0
