iter	Logloss
115	0.2187493343
116	0.2183895239
117	0.2175934555
118	0.216937686
119	0.2164314833
120	0.2156039756
121	0.2152228387
122	0.2149166389
123	0.2145320457
124	0.213768671
125	0.2134665931
126	0.212651656
127	0.2123862657
128	0.2117754405
129	0.2109658158
130	0.2102556293
131	0.2096258842
132	0.2088767954
133	0.2082365535
134	0.2079252845
135	0.207503146
136	0.2068607151
137	0.2066538766
138	0.2060469045
139	0.2055235101
140	0.2053423632
141	0.2048214394
142	0.2043818275
143	0.2038631183
144	0.2034102446
145	0.2030510358
146	0.2026230985
147	0.2024328117
148	0.2017452317
149	0.201577385
150	0.2010616456
151	0.2009145493
152	0.2005803665
153	0.2000903699
154	0.1997028581
155	0.1992804764
156	0.1988959984
157	0.1984571162
158	0.198127465
159	0.1977552632
160	0.1974368639
161	0.1969761688
162	0.1963921617
163	0.1962846078
164	0.1959320427
165	0.1956592278
166	0.1953424799
167	0.1950765136
168	0.1946955047
169	0.1943651878
170	0.1941253099
171	0.1937776604
172	0.1934797812
173	0.1932000154
174	0.1927391923
175	0.1924563414
176	0.1922103575
177	0.1919966576
178	0.1918162019
179	0.1914629456
180	0.1911885178
181	0.1908036302
182	0.1905840931
183	0.1902129026
184	0.1899637056
185	0.1896363457
186	0.1892536599
187	0.1888859256
188	0.1886702672
189	0.1884529703
190	0.1881115037
191	0.1878868205
192	0.1875935369
193	0.1874001906
194	0.1871936849
195	0.1869026927
196	0.1866690232
197	0.1864816294
198	0.1863029019
199	0.1861127303
200	0.1859460741
201	0.1856554147
202	0.1855250237
203	0.1852740601
204	0.1850261816
205	0.1849325167
206	0.1848502447
207	0.1846414476
208	0.1843909193
209	0.1842450904
210	0.1839499634
211	0.1836978221
212	0.183542802
213	0.1832554836
214	0.1830781258
215	0.1829767675
216	0.1828254341
217	0.1826056922
218	0.1823387018
219	0.1821342315
220	0.1818728607
221	0.1816797705
222	0.1816082897
223	0.1813628818
224	0.181234475
225	0.1810342673
226	0.1808949413
227	0.1807987802
228	0.1805750316
229	0.1804121133
230	0.1801693551
231	0.1799517126
232	0.1798377069
233	0.1796352975
234	0.1794860251
235	0.1793163991
236	0.1791327304
237	0.1790535946
238	0.1788901259
239	0.1787164931
240	0.178540825
241	0.1784832334
242	0.1782772909
243	0.1781964014
244	0.1780344688
245	0.1779205271
246	0.1778040252
247	0.1776742615
248	0.1776101797
249	0.1774749756
250	0.1772954928
251	0.1771430201
252	0.176936284
253	0.1768318535
254	0.1766077336
255	0.1764278412
256	0.1763346371
257	0.176141086
258	0.1759844658
259	0.1758161199
260	0.1756895437
261	0.1755444315
262	0.1754368264
263	0.1753031199
264	0.1751561645
265	0.174993003
266	0.1748743121
267	0.1747186264
268	0.1746176521
269	0.1744964651
270	0.1743338412
271	0.1742567024
272	0.1741183236
273	0.1740053932
274	0.1738484146
275	0.1737499749
276	0.1736837682
277	0.1735440197
278	0.1734814868
279	0.1733428776
280	0.1732285775
281	0.1730926821
282	0.1729672195
283	0.1729113944
284	0.1728088968
285	0.1727120188
286	0.1726199156
287	0.1724874253
288	0.1724450028
289	0.1723319956
290	0.172249122
291	0.1721610767
292	0.1720502457
293	0.1719489642
294	0.1719094603
295	0.171859306
296	0.1717842153
297	0.171692701
298	0.1716231276
299	0.1715622716
300	0.1715335974
301	0.1714319063
302	0.1713795374
303	0.1712547405
304	0.1711290347
305	0.1710217623
306	0.1708725027
307	0.1707898594
308	0.1707580234
309	0.1707141287
310	0.1705986381
311	0.1705407776
312	0.1704661478
313	0.1704168128
314	0.1703776417
315	0.1702958049
316	0.1701791751
317	0.1701117778
318	0.1700471712
319	0.1699843055
320	0.1699277891
321	0.1698485765
322	0.1697454132
323	0.169690881
324	0.1696391266
325	0.1695492124
326	0.1694598102
327	0.1694074029
328	0.1693627786
329	0.169321777
330	0.1692311332
331	0.1691845247
332	0.1691429087
333	0.1691154506
334	0.1690800814
335	0.1690444178
336	0.1689482567
337	0.1688629509
338	0.1687760321
339	0.1686407768
340	0.1686109248
341	0.1685548565
342	0.1684580169
343	0.1683783819
344	0.1683536376
345	0.1683040593
346	0.1682602543
347	0.1681510106
348	0.1680489226
349	0.1680111725
350	0.1679917022
351	0.1679204774
352	0.1678441963
353	0.167794298
354	0.1677111555
355	0.1676708708
356	0.167591863
357	0.1675275636
358	0.1674599103
359	0.1673433445
360	0.1672474394
361	0.1672204933
362	0.1671848937
363	0.1671255867
364	0.1670223082
365	0.1669642429
366	0.166872703
367	0.1668197581
368	0.1667736617
369	0.166746882
370	0.1667137274
371	0.1666321466
372	0.166585231
373	0.1665325037
374	0.1664802756
375	0.1664451241
376	0.1663688301
377	0.1662972341
378	0.1662656157
379	0.166202494
380	0.1661299123
381	0.1660578043
382	0.1660075604
383	0.1659504679
384	0.165921064
385	0.1658480727
386	0.1658064823
387	0.1657408388
388	0.1656949984
389	0.1656630087
390	0.1656273835
391	0.1655440363
392	0.1654852669
393	0.1654363159
394	0.1654077568
395	0.1653544023
396	0.1653058993
397	0.1652683028
398	0.1652166123
399	0.1651760332
400	0.1651137435
401	0.1650704249
402	0.1650461799
403	0.1649924285
404	0.1649654568
405	0.164921831
406	0.1648805221
407	0.1648572371
408	0.1647982117
409	0.1647378294
410	0.1646972247
411	0.1646684224
412	0.1646161175
413	0.1645619053
414	0.1645315029
415	0.1645129927
416	0.1644869811
417	0.1644490517
418	0.1643988334
419	0.1643748187
420	0.1643132971
421	0.1642681992
422	0.1642561663
423	0.1642196578
424	0.1642022101
425	0.1641542832
426	0.1641193364
427	0.1640983684
428	0.1640624488
429	0.1640202311
430	0.1639606937
431	0.1639422986
432	0.1638994025
433	0.1638714579
434	0.1638394042
435	0.1638178729
436	0.163775348
437	0.1637417838
438	0.1637184988
439	0.1636519464
440	0.163571889
441	0.163516051
442	0.1635020851
443	0.1634329341
444	0.163413131
445	0.1633725774
446	0.1633131552
447	0.1632941841
448	0.1632680957
449	0.1632501999
450	0.1631922882
451	0.1631553317
452	0.1631226252
453	0.1630686306
454	0.1630166841
455	0.1629841952
456	0.1629533704
457	0.1629401341
458	0.1629182828
459	0.1628902102
460	0.1628733641
461	0.1628240291
462	0.1628010129
463	0.1627521387
464	0.1627233876
465	0.1627076296
466	0.1626229894
467	0.1625853417
468	0.1625392709
469	0.162516818
470	0.1624853915
471	0.1624570245
472	0.1624285679
473	0.1623744069
474	0.1623403818
475	0.1623045134
476	0.1622714612
477	0.1622530534
478	0.1622381274
479	0.1622095428
480	0.1621730728
481	0.1621383053
482	0.1621241602
483	0.1620976621
484	0.1620654164
485	0.1619820819
486	0.1619071192
487	0.1618449832
488	0.1618261273
489	0.1617626344
490	0.1617310927
491	0.1617203143
492	0.1617108031
493	0.161662569
494	0.1616354565
495	0.1616179191
496	0.1615947365
497	0.1615714643
498	0.1615386937
499	0.1615099299
500	0.1614699652
501	0.1614394476
502	0.1614129239
503	0.1613868227
504	0.1613466404
505	0.1613330457
506	0.1613177741
507	0.1612907128
508	0.161245026
509	0.1612200001
510	0.1611989297
511	0.1611418116
512	0.1611173105
513	0.1610813525
514	0.1610641479
515	0.1610124447
516	0.160964505
517	0.1609483245
518	0.1609061708
519	0.1608650412
520	0.1608290704
521	0.160788056
522	0.1607519316
523	0.1607204412
524	0.1606883875
525	0.1606606093
526	0.1606320503
527	0.1606067811
528	0.1605828304
529	0.1605531705
530	0.1605184286
531	0.160502773
532	0.1604871046
533	0.16045884
534	0.1604206802
535	0.1603976512
536	0.1603759407
537	0.1603636262
538	0.1603440278
539	0.1603078906
540	0.1602916462
541	0.1602797284
542	0.1602551121
543	0.1602336192
544	0.1602143025
545	0.160199927
546	0.1601785365
547	0.160166414
548	0.1601420409
549	0.1601281134
550	0.1601118433
551	0.1601006681
552	0.1600631611
553	0.1600363559
554	0.1600149014
555	0.1600041229
556	0.1599766264
557	0.1599697139
558	0.1599504868
559	0.159922427
560	0.1598996156
561	0.1598742696
562	0.1598603805
563	0.1598502038
564	0.1598405518
565	0.1598233217
566	0.1598103158
567	0.1597769564
568	0.1597518409
569	0.1597396799
570	0.1597216049
571	0.1597100072
572	0.1597009697
573	0.1596773519
574	0.1596493305
575	0.1596161503
576	0.1595962064
577	0.1595727037
578	0.1595447463
579	0.1595286171
580	0.1595097356
581	0.1594932607
582	0.1594804213
583	0.1594476636
584	0.159417658
585	0.1594088126
586	0.1593814184
587	0.1593703968
588	0.1593522449
589	0.1593309441
590	0.1593100529
591	0.1593048301
592	0.1592923619
593	0.1592760406
594	0.1592567111
595	0.1592458687
596	0.1592309811
597	0.1592111267
598	0.1591866256
599	0.1591785098
600	0.1591609596
601	0.1591475698
602	0.1591392876
603	0.1591256033
604	0.1591135831
605	0.1590949577
606	0.1590774587
607	0.1590557994
608	0.1590442017
609	0.1590161932
610	0.1589945595
611	0.1589812976
612	0.1589636323
613	0.1589557981
614	0.1589382095
615	0.1589166526
616	0.1588969135
617	0.1588858534
618	0.158878416
619	0.1588678808
620	0.1588602514
621	0.1588429701
622	0.1588303867
623	0.158810942
624	0.1588009316
625	0.1587831254
626	0.1587740367
627	0.1587441464
628	0.1587191332
629	0.1587041304
630	0.1586817287
631	0.1586642425
632	0.158655461
633	0.1586387942
634	0.1586271708
635	0.1586105551
636	0.1586039754
637	0.1585929922
638	0.1585862333
639	0.1585799992
640	0.1585624874
641	0.1585497504
642	0.1585347348
643	0.1585226763
644	0.1585127171
645	0.1584923891
646	0.158482878
647	0.1584765671
648	0.1584589273
649	0.1584526932
650	0.1584434509
651	0.1584260672
652	0.1584174905
653	0.158401182
654	0.1583878818
655	0.1583794971
656	0.1583717525
657	0.1583642384
658	0.158357313
659	0.1583462658
660	0.1583235312
661	0.1583011806
662	0.1582890197
663	0.1582824016
664	0.1582763467
665	0.1582657347
666	0.1582475445
667	0.158243589
668	0.1582287654
669	0.158213289
670	0.1582024721
671	0.1581926282
672	0.1581668854
673	0.1581590128
674	0.1581483879
675	0.1581318106
676	0.158110113
677	0.158100397
678	0.1581004354
679	0.1580956478
680	0.1580864823
681	0.1580682921
682	0.158062186
683	0.1580564768
684	0.1580506907
685	0.1580430485
686	0.1580384018
687	0.1580247303
688	0.1580093435
689	0.1579992947
690	0.1579842023
691	0.15797528
692	0.1579605333
693	0.1579500749
694	0.1579501005
695	0.1579461578
696	0.1579276987
697	0.1579189557
698	0.1579102894
699	0.1578994981
700	0.157898154
701	0.1578936097
702	0.1578765331
703	0.1578686477
704	0.1578571652
705	0.1578431097
706	0.1578322673
707	0.1578247275
708	0.1578158948
709	0.1578055004
710	0.1577968469
711	0.1577837643
712	0.1577782087
713	0.1577728835
714	0.1577574839
715	0.1577492528
716	0.1577372327
717	0.1577316387
718	0.1577263262
719	0.1577120275
720	0.1577054606
721	0.1576860799
722	0.1576706291
723	0.1576638702
724	0.157656036
725	0.157651082
726	0.1576345815
727	0.1576121926
728	0.1575999804
729	0.1575867058
730	0.1575732135
731	0.1575672226
732	0.1575508502
733	0.1575387916
734	0.157533684
735	0.1575256194
736	0.1575187325
737	0.1575062387
738	0.1574953578
739	0.1574838369
740	0.1574755803
741	0.1574640466
742	0.1574533834
743	0.1574368573
744	0.1574202672
745	0.1574048164
746	0.1573900696
747	0.1573774863
748	0.1573642756
749	0.1573513978
750	0.1573393009
751	0.1573285865
752	0.157310281
753	0.1573058391
754	0.1572885961
755	0.1572787522
756	0.1572590514
757	0.1572451239
758	0.1572353184
759	0.1572274458
760	0.1572212885
761	0.1572163345
762	0.1572035335
763	0.1571913342
764	0.1571762674
765	0.1571683948
766	0.1571594597
767	0.157148118
768	0.1571410006
769	0.1571311183
770	0.1571242057
771	0.1571196742
772	0.1571103166
773	0.1571058107
774	0.1570891054
775	0.1570777381
776	0.1570687774
777	0.1570658204
778	0.1570574613
779	0.1570515345
780	0.1570435722
781	0.1570392327
782	0.1570278782
783	0.1570191095
784	0.1570088175
785	0.1569951717
786	0.1569881055
787	0.1569824731
788	0.1569749333
789	0.1569710034
790	0.1569641677
791	0.1569571527
792	0.1569466175
793	0.156937644
794	0.1569279536
795	0.1569186217
796	0.1569098274
797	0.156899241
798	0.1568892818
799	0.1568820365
800	0.1568779145
801	0.1568622589
802	0.1568540663
803	0.1568472945
804	0.1568454768
805	0.1568392683
806	0.1568214365
807	0.156816777
808	0.1568066642
809	0.1567920966
810	0.1567819711
811	0.1567693493
812	0.1567607598
813	0.1567516455
814	0.1567454626
815	0.1567400094
816	0.156731932
817	0.1567186445
818	0.1567061251
819	0.1566964476
820	0.1566848243
821	0.1566759916
822	0.1566648419
823	0.1566541787
824	0.1566483414
825	0.1566421458
826	0.1566322378
827	0.1566282695
828	0.1566177087
829	0.1566119482
830	0.1566080439
831	0.156603922
832	0.1565983407
833	0.1565933868
834	0.1565836452
835	0.1565698073
836	0.1565642901
837	0.1565500042
838	0.156544807
839	0.156537152
840	0.1565337469
841	0.156524799
842	0.1565200498
843	0.1565148782
844	0.1565061096
845	0.1564957792
846	0.1564824021
847	0.1564704844
848	0.1564656328
849	0.1564571457
850	0.156452115
851	0.156448249
852	0.1564353072
853	0.1564234279
854	0.15641969
855	0.1564114718
856	0.156401743
857	0.1563975187
858	0.1563927183
859	0.1563834888
860	0.156378522
861	0.1563650682
862	0.1563638265
863	0.1563611895
864	0.1563520111
865	0.1563514991
866	0.1563430377
867	0.1563402342
868	0.156332208
869	0.1563275228
870	0.1563216856
871	0.1563169108
872	0.1563125585
873	0.1563101391
874	0.1563068108
875	0.1563016264
876	0.1562863804
877	0.1562770613
878	0.1562710704
879	0.1562676654
880	0.1562536611
881	0.1562452508
882	0.1562374166
883	0.1562294032
884	0.1562242188
885	0.1562173447
886	0.1562133891
887	0.156206707
888	0.1562018939
889	0.1561933684
890	0.1561838956
891	0.1561785064
892	0.1561706338
893	0.1561655518
894	0.1561618267
895	0.1561572824
896	0.1561546582
897	0.1561467728
898	0.156139169
899	0.1561318468
900	0.156124627
901	0.1561182649
902	0.1561135158
903	0.1561069617
904	0.1561020333
905	0.1560949799
906	0.1560920613
907	0.1560859424
908	0.1560809756
909	0.1560744087
910	0.1560611597
911	0.1560537863
912	0.1560456577
913	0.1560381435
914	0.1560290292
915	0.1560253169
916	0.1560192108
917	0.1560158698
918	0.1560128615
919	0.1560071267
920	0.1559939672
921	0.155990959
922	0.155988194
923	0.1559865555
924	0.1559823183
925	0.1559764811
926	0.1559683909
927	0.1559661507
928	0.1559578812
929	0.155955321
930	0.1559497142
931	0.1559446706
932	0.1559337386
933	0.1559282981
934	0.1559264292
935	0.1559210272
936	0.155913897
937	0.15591062
938	0.1559026577
939	0.1558976397
940	0.1558933514
941	0.1558930954
942	0.1558905864
943	0.1558861957
944	0.1558787199
945	0.1558762365
946	0.1558762365
947	0.1558743419
948	0.1558692471
949	0.1558660597
950	0.1558572142
951	0.1558556269
952	0.1558508393
953	0.1558397024
954	0.155837347
955	0.1558374495
956	0.1558371678
957	0.1558350173
958	0.1558344412
959	0.1558262614
960	0.155815995
961	0.1558146893
962	0.1558145869
963	0.1558121291
964	0.1558107338
965	0.1558032836
966	0.1558033732
967	0.1558015171
968	0.1558015043
969	0.1557996097
970	0.1557984576
971	0.1557915579
972	0.1557894201
973	0.1557873591
974	0.1557871671
975	0.1557847093
976	0.155779909
977	0.1557783344
978	0.1557782192
979	0.1557783472
980	0.1557757614
981	0.1557726892
982	0.155770193
983	0.1557701546
984	0.1557631781
985	0.1557572
986	0.1557528605
987	0.1557503771
988	0.1557444374
989	0.1557402515
990	0.1557395218
991	0.1557385617
992	0.1557321996
993	0.1557322253
994	0.1557320844
995	0.1557320716
996	0.1557297419
997	0.1557296395
998	0.1557201923
999	0.1557154559
